filename,test error,training loss,mutual information,sample entropy,experts usage
mnist_scratch_10_5_models.pt,0.08149993419647217,0.1424751579761505,1.6093080043792725,0.39541831612586975,2.1816306114196777
mnist_scratch_10_5_models.pt,0.09099996089935303,0.1550372987985611,1.4786272048950195,0.10117209702730179,1.606215000152588
mnist_scratch_10_5_models.pt,0.07799994945526123,0.056100402027368546,1.794950008392334,0.17516911029815674,2.075981855392456
mnist_scratch_10_5_models.pt,0.08949995040893555,0.13521111011505127,1.3511853218078613,0.2824227809906006,1.9874796867370605
mnist_scratch_10_5_models.pt,0.08549994230270386,0.136768639087677,1.3024847507476807,0.2230456918478012,1.6755990982055664
mnist_pretrained_gate_scratch_same_wts_10_5_models.pt,0.07949995994567871,0.13782870769500732,1.6521353721618652,0.39541831612586975,2.1816306114196777
mnist_pretrained_gate_scratch_same_wts_10_5_models.pt,0.09849995374679565,0.14661818742752075,1.509387731552124,0.10117209702730179,1.606215000152588
mnist_pretrained_gate_scratch_same_wts_10_5_models.pt,0.08299994468688965,0.06063643470406532,1.7920207977294922,0.17516911029815674,2.075981855392456
mnist_pretrained_gate_scratch_same_wts_10_5_models.pt,0.09449994564056396,0.16712573170661926,1.3956701755523682,0.2824227809906006,1.9874796867370605
mnist_pretrained_gate_scratch_same_wts_10_5_models.pt,0.09299993515014648,0.14007388055324554,1.3614044189453125,0.2230456918478012,1.6755990982055664
mnist_pretrained_gate_scratch_rand_wts_10_5_models.pt,0.10249996185302734,0.15577347576618195,1.6383225917816162,0.39541831612586975,2.1816306114196777
mnist_pretrained_gate_scratch_rand_wts_10_5_models.pt,0.15299993753433228,0.30636104941368103,1.5632305145263672,0.10117209702730179,1.606215000152588
mnist_pretrained_gate_scratch_rand_wts_10_5_models.pt,0.10749995708465576,0.12518750131130219,1.8642208576202393,0.17516911029815674,2.075981855392456
mnist_pretrained_gate_scratch_rand_wts_10_5_models.pt,0.12249994277954102,0.2035212516784668,1.404510498046875,0.2824227809906006,1.9874796867370605
mnist_pretrained_gate_scratch_rand_wts_10_5_models.pt,0.10649996995925903,0.16333404183387756,1.3273601531982422,0.2230456918478012,1.6755990982055664
mnist_pretrained_gate_prechosen_10_5_models.pt,0.07299995422363281,0.05980081856250763,2.3170554637908936,0.11132083833217621,2.3167197704315186
mnist_pretrained_gate_prechosen_10_5_models.pt,0.08049994707107544,0.049957700073719025,2.3165383338928223,0.11179763823747635,2.3166446685791016
mnist_pretrained_gate_prechosen_10_5_models.pt,0.0989999771118164,0.08873632550239563,2.31366229057312,0.11661216616630554,2.312727689743042
mnist_pretrained_gate_prechosen_10_5_models.pt,0.0889999270439148,0.06738165020942688,2.3202054500579834,0.11051386594772339,2.3203792572021484
mnist_pretrained_gate_prechosen_10_5_models.pt,0.07499992847442627,0.057883210480213165,2.3157460689544678,0.1035836711525917,2.3160030841827393
mnist_pretrained_gate_prechosen_same_wts_10_5_models.pt,0.07249993085861206,0.0361628457903862,2.3170557022094727,0.11132083833217621,2.3167197704315186
mnist_pretrained_gate_prechosen_same_wts_10_5_models.pt,0.0769999623298645,0.018471885472536087,2.3165383338928223,0.11179763823747635,2.3166446685791016
mnist_pretrained_gate_prechosen_same_wts_10_5_models.pt,0.09399998188018799,0.06272100657224655,2.313662528991699,0.11661216616630554,2.312727689743042
mnist_pretrained_gate_prechosen_same_wts_10_5_models.pt,0.08699995279312134,0.04647897556424141,2.320204734802246,0.11051386594772339,2.3203792572021484
mnist_pretrained_gate_prechosen_same_wts_10_5_models.pt,0.07449996471405029,0.043639298528432846,2.3157458305358887,0.1035836711525917,2.3160030841827393
mnist_pretrained_gate_prechosen_rand_wts_10_5_models.pt,0.06999993324279785,0.045602694153785706,2.3170552253723145,0.11132083833217621,2.3167197704315186
mnist_pretrained_gate_prechosen_rand_wts_10_5_models.pt,0.08449995517730713,0.04372972622513771,2.316537857055664,0.11179763823747635,2.3166446685791016
mnist_pretrained_gate_prechosen_rand_wts_10_5_models.pt,0.09099996089935303,0.051886558532714844,2.31366229057312,0.11661216616630554,2.312727689743042
mnist_pretrained_gate_prechosen_rand_wts_10_5_models.pt,0.08399993181228638,0.05001206323504448,2.320204734802246,0.11051386594772339,2.3203792572021484
mnist_pretrained_gate_prechosen_rand_wts_10_5_models.pt,0.0769999623298645,0.045200835913419724,2.3157460689544678,0.1035836711525917,2.3160030841827393
